2025-01-23 20:52:32,672 INFO    MainThread:34704 [wandb_setup.py:_flush():68] Current SDK version is 0.19.4
2025-01-23 20:52:32,674 INFO    MainThread:34704 [wandb_setup.py:_flush():68] Configure stats pid to 34704
2025-01-23 20:52:32,674 INFO    MainThread:34704 [wandb_setup.py:_flush():68] Loading settings from C:\Users\TMB\.config\wandb\settings
2025-01-23 20:52:32,674 INFO    MainThread:34704 [wandb_setup.py:_flush():68] Loading settings from C:\dev\EE569\Assignment2-LLM\wandb\settings
2025-01-23 20:52:32,674 INFO    MainThread:34704 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-23 20:52:32,674 INFO    MainThread:34704 [wandb_init.py:setup_run_log_directory():624] Logging user logs to C:\dev\EE569\Assignment2-LLM\wandb\run-20250123_205232-zdd2ptxc\logs\debug.log
2025-01-23 20:52:32,674 INFO    MainThread:34704 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to C:\dev\EE569\Assignment2-LLM\wandb\run-20250123_205232-zdd2ptxc\logs\debug-internal.log
2025-01-23 20:52:32,674 INFO    MainThread:34704 [wandb_init.py:init():743] calling init triggers
2025-01-23 20:52:32,674 INFO    MainThread:34704 [wandb_init.py:init():748] wandb.init called with sweep_config: {}
config: {'project': 'llmapps', 'entity': None, 'job_type': 'production', 'vector_store_artifact': 'tmbuot-university-of-tripoli/llmapps/vector_store:latest', 'chat_prompt_artifact': 'tmbuot-university-of-tripoli/llmapps/chat_prompt:latest', 'chat_temperature': 0.3, 'max_fallback_retries': 1, 'model_name': 'gpt-4o-mini', 'eval_model': 'gpt-4o-mini', 'eval_artifact': 'tmbuot-university-of-tripoli/llmapps/generated_examples:v0'}
2025-01-23 20:52:32,674 INFO    MainThread:34704 [wandb_init.py:init():776] starting backend
2025-01-23 20:52:32,899 INFO    MainThread:34704 [wandb_init.py:init():780] sending inform_init request
2025-01-23 20:52:32,935 INFO    MainThread:34704 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-01-23 20:52:32,943 INFO    MainThread:34704 [wandb_init.py:init():795] backend started and connected
2025-01-23 20:52:32,946 INFO    MainThread:34704 [wandb_init.py:init():888] updated telemetry
2025-01-23 20:52:32,947 INFO    MainThread:34704 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-01-23 20:52:33,443 INFO    MainThread:34704 [wandb_init.py:init():967] starting run threads in backend
2025-01-23 20:52:36,466 INFO    MainThread:34704 [wandb_run.py:_console_start():2409] atexit reg
2025-01-23 20:52:36,466 INFO    MainThread:34704 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-01-23 20:52:36,466 INFO    MainThread:34704 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-01-23 20:52:36,466 INFO    MainThread:34704 [wandb_run.py:_redirect():2349] Redirects installed.
2025-01-23 20:52:36,473 INFO    MainThread:34704 [wandb_init.py:init():1009] run started, returning control to user process
